T,c,SMA 7,sav gol,Pos Crossing,Neg Crossing
1655066879999,27426.28000000,,27423.97087521364,False,False
1655066939999,27416.01000000,,27420.53785811963,False,False
1655066999999,27402.07000000,,27417.008346413953,False,False
1655067059999,27425.87000000,,27413.441699847965,False,False
1655067119999,27409.44000000,,27409.897278173023,False,False
1655067179999,27423.89000000,,27406.434441140493,False,False
1655067239999,27415.01000000,27416.93857142857,27403.112548501733,False,False
1655067299999,27400.74000000,27413.29,27399.9909600081,False,False
1655067359999,27387.36000000,27409.197142857138,27397.129035410962,False,False
1655067419999,27368.50000000,27404.40142857143,27394.586134461668,False,False
1655067479999,27375.46000000,27397.200000000004,27392.421616911583,False,False
1655067539999,27403.64000000,27396.37142857143,27390.694842512068,False,False
1655067599999,27377.00000000,27389.672857142858,27389.46517101443,False,False
1655067659999,27406.84000000,27388.505714285715,27389.35587053134,True,False
1655067719999,27410.26000000,27389.865714285716,27387.281302415395,False,True
1655067779999,27413.29000000,27393.570000000003,27386.09215458931,False,False
1655067839999,27383.03000000,27395.645714285718,27389.441317874334,False,False
1655067899999,27366.06000000,27394.302857142855,27393.959201932306,False,False
1655067959999,27362.86000000,27388.477142857144,27400.346890821194,True,False
1655068019999,27421.08000000,27394.774285714288,27407.392939130375,False,False
1655068079999,27403.76000000,27394.334285714285,27413.77086376805,False,False
1655068139999,27420.15000000,27395.747142857144,27418.88921352651,False,False
1655068199999,27426.93000000,27397.695714285714,27426.668042512014,False,False
1655068259999,27426.18000000,27403.859999999997,27433.48406956516,False,False
1655068319999,27426.62000000,27412.511428571426,27441.233851207664,False,False
1655068379999,27437.64000000,27423.19428571429,27445.95475169076,False,False
1655068439999,27489.74000000,27433.002857142856,27453.172023188345,False,False
1655068499999,27495.80000000,27446.15142857143,27462.156993236647,False,False
1655068559999,27475.93000000,27454.12,27470.06310338158,False,False
1655068619999,27464.84000000,27459.535714285714,27474.62166570042,False,False
1655068679999,27469.76000000,27465.76142857143,27477.894581642446,False,False
1655068739999,27472.36000000,27472.295714285716,27478.51437101443,False,False
1655068799999,27488.67000000,27479.58571428571,27482.77537777771,False,False
1655068859999,27515.94000000,27483.32857142857,27484.88896425114,False,False
1655068919999,27456.62000000,27477.731428571427,27487.174088888823,False,False
1655068979999,27467.88000000,27476.581428571426,27489.392958454042,False,False
1655069039999,27477.40000000,27478.375714285714,27489.359897584476,False,False
1655069099999,27501.78000000,27482.95,27487.115358454044,False,False
