T,c,SMA 7,sav gol,Pos Crossing,Neg Crossing
1655148719999,23154.99000000,,23133.839548717926,False,False
1655148779999,23116.97000000,,23163.234155555536,False,False
1655148839999,23166.89000000,,23188.755795466353,False,False
1655148899999,23206.39000000,,23210.632985696415,False,False
1655148959999,23271.99000000,,23229.09424349176,False,False
1655149019999,23269.40000000,,23244.36808609843,False,False
1655149079999,23295.35000000,23211.71142857143,23256.683030762466,False,False
1655149139999,23271.71000000,23228.385714285716,23266.2675947299,False,False
1655149199999,23269.99000000,23250.245714285713,23273.350295246775,False,False
1655149259999,23257.61000000,23263.205714285716,23278.15964955913,False,False
1655149319999,23281.87000000,23273.988571428574,23280.924174913005,False,False
1655149379999,23271.57000000,23273.928571428572,23281.872388554435,False,False
1655149439999,23232.10000000,23268.600000000002,23281.232807729415,False,False
1655149499999,23207.46000000,23256.044285714284,23280.605018357433,False,False
1655149559999,23282.15000000,23257.535714285714,23275.031445410572,False,False
1655149619999,23294.99000000,23261.10714285714,23268.64928695647,False,False
1655149679999,23305.43000000,23267.93857142857,23263.51200386468,False,True
1655149739999,23294.47000000,23269.738571428574,23256.77184927531,False,False
1655149799999,23294.67000000,23273.03857142857,23248.751321739077,False,False
1655149859999,23246.39000000,23275.079999999998,23242.652815458885,False,False
1655149919999,23223.24000000,23277.334285714285,23241.36412753618,False,False
1655149979999,23235.52000000,23270.672857142858,23240.43036328497,False,False
1655150039999,23230.03000000,23261.39285714286,23240.35693140091,False,False
1655150099999,23229.41000000,23250.532857142854,23243.435248309124,False,False
1655150159999,23236.70000000,23242.28,23249.60709758449,True,False
1655150219999,23235.96000000,23233.89285714286,23257.193028019272,False,False
1655150279999,23227.30000000,23231.16571428571,23261.78317294681,False,False
1655150339999,23237.98000000,23233.27142857143,23273.534981642457,False,False
1655150399999,23218.22000000,23230.8,23290.993457004777,False,False
1655150459999,23304.99000000,23241.50857142857,23309.234581642457,False,False
1655150519999,23357.26000000,23259.772857142856,23327.416469565163,False,False
1655150579999,23407.74000000,23284.207142857143,23345.754457970957,False,False
1655150639999,23358.38000000,23301.695714285714,23359.834162318788,False,False
1655150699999,23393.40000000,23325.42428571429,23372.26642512072,False,False
1655150759999,23413.73000000,23350.53142857143,23384.14924444439,False,False
1655150819999,23439.69000000,23382.170000000002,23395.310595169027,False,False
1655150879999,23433.78000000,23400.568571428572,23402.00601932362,False,False
1655150939999,23404.22000000,23407.277142857143,23405.590061835694,False,True
1655150999999,23446.11000000,23412.758571428574,23410.453783574823,False,False
1655151059999,23427.73000000,23422.665714285715,23413.364823188353,False,False
1655151119999,23368.77000000,23419.147142857142,23419.21590917869,True,False
1655151179999,23381.24000000,23414.505714285715,23419.01771400961,False,False
1655151239999,23387.28000000,23407.018571428573,23422.949478260816,False,False
1655151299999,23399.49000000,23402.12,23429.604970048258,False,False
1655151359999,23431.55000000,23406.024285714288,23439.801762318784,False,False
1655151419999,23432.42000000,23404.06857142857,23448.569178743906,False,False
1655151479999,23444.49000000,23406.46285714286,23459.368747826033,False,False
1655151539999,23437.30000000,23416.252857142856,23466.675607729416,False,False
1655151599999,23499.52000000,23433.149999999998,23479.06346280188,False,False
1655151659999,23565.61000000,23458.625714285714,23499.763341062746,False,False
1655151719999,23553.14000000,23480.575714285715,23521.970050241493,False,False
1655151779999,23575.89000000,23501.195714285714,23548.020278260818,False,False
1655151839999,23520.64000000,23513.79857142857,23570.415014492697,False,False
1655151899999,23570.59000000,23531.812857142857,23587.38725217386,False,False
1655151959999,23572.48000000,23551.124285714286,23600.621795169027,False,False
1655152019999,23584.82000000,23563.31,23610.619373912992,False,False
1655152079999,23600.69000000,23568.321428571428,23616.373576811537,False,False
1655152139999,23594.22000000,23574.190000000002,23615.876258937144,False,False
1655152199999,23606.11000000,23578.507142857143,23613.179317874343,False,False
1655152259999,23723.83000000,23607.53428571429,23606.856618357433,False,True
1655152319999,23730.54000000,23630.384285714284,23596.042454106224,False,False
1655152379999,23628.19000000,23638.342857142856,23584.32885603859,False,False
1655152439999,23568.53000000,23636.015714285713,23576.789710144873,False,False
1655152499999,23517.25000000,23624.09571428571,23569.499145893664,False,False
1655152559999,23521.86000000,23613.75857142857,23557.80055458932,False,False
1655152619999,23491.46000000,23597.38,23539.953783574823,False,False
1655152679999,23484.32000000,23563.164285714283,23526.616573912994,False,False
1655152739999,23455.89000000,23523.92857142857,23509.517953623134,False,False
1655152799999,23443.49000000,23497.54285714286,23492.75497391299,False,False
1655152859999,23499.99000000,23487.75142857143,23473.311511111053,False,False
1655152919999,23468.06000000,23480.72428571429,23451.474732367096,False,False
1655152979999,23465.28000000,23472.641428571427,23429.677729468545,False,False
1655153039999,23455.20000000,23467.46142857143,23417.138490821202,False,False
1655153099999,23466.11000000,23464.859999999997,23408.87007149753,False,False
1655153159999,23416.47000000,23459.22857142857,23398.747051207672,False,False
1655153219999,23343.78000000,23444.984285714283,23385.721503381592,False,False
1655153279999,23385.16000000,23428.579999999998,23371.844461835695,False,False
1655153339999,23384.82000000,23416.68857142857,23357.56015265695,False,False
1655153399999,23301.56000000,23393.3,23340.821756521684,False,False
1655153459999,23309.85000000,23372.535714285714,23323.17758454101,False,False
1655153519999,23265.36000000,23343.85714285714,23306.59629951686,False,False
1655153579999,23284.58000000,23325.015714285717,23290.368985507193,False,False
1655153639999,23294.38000000,23317.958571428575,23285.408353623134,False,False
1655153699999,23295.34000000,23305.127142857145,23282.4650144927,False,False
1655153759999,23284.50000000,23290.795714285716,23282.556724637627,False,False
1655153819999,23279.98000000,23287.712857142855,23283.01056811589,False,False
1655153879999,23256.70000000,23280.12,23286.844427053085,True,False
1655153939999,23271.25000000,23280.96142857143,23293.239074396082,False,False
1655153999999,23245.83000000,23275.425714285717,23292.00605797096,False,False
1655154059999,23267.66000000,23271.608571428573,23293.22977971009,False,False
1655154119999,23302.16000000,23272.582857142854,23293.618359420238,False,False
1655154179999,23349.25000000,23281.832857142854,23290.390034782555,False,False
1655154239999,23349.34000000,23291.74142857143,23286.410005797046,False,True
1655154299999,23378.09000000,23309.08285714286,23278.473458937144,False,False
1655154359999,23297.23000000,23312.794285714284,23272.489383574823,False,False
1655154419999,23269.42000000,23316.164285714283,23267.536585507194,False,False
1655154479999,23242.68000000,23312.59571428571,23268.49232270526,False,False
1655154539999,23253.92000000,23305.704285714284,23269.907667632797,False,False
1655154599999,23243.32000000,23290.571428571428,23268.619399033763,False,False
1655154659999,23167.97000000,23264.661428571424,23265.38133333328,True,False
1655154719999,23214.65000000,23241.312857142857,23259.991945893667,False,False
1655154779999,23217.74000000,23229.957142857143,23253.939161352602,False,False
1655154839999,23254.42000000,23227.814285714285,23248.355702415407,False,False
1655154899999,23247.22000000,23228.462857142855,23246.458220289802,False,False
1655154959999,23275.65000000,23231.567142857148,23247.008328502365,False,False
1655155019999,23310.27000000,23241.13142857143,23249.214063768064,False,False
1655155079999,23312.56000000,23261.787142857145,23258.392875362264,False,True
1655155139999,23329.14000000,23278.14285714286,23262.538009661785,False,False
1655155199999,23244.41000000,23281.952857142856,23264.53642318835,False,False
1655155259999,23214.13000000,23276.197142857145,23266.429029951636,False,False
1655155319999,23240.46000000,23275.23142857143,23268.455271497533,False,False
1655155379999,23235.68000000,23269.52142857143,23269.729590338113,True,False
1655155439999,23278.51000000,23264.984285714287,23265.661694685936,False,False
1655155499999,23259.25000000,23257.368571428575,23263.095296618303,False,False
1655155559999,23264.81000000,23248.178571428572,23259.48971207724,False,False
1655155619999,23237.15000000,23247.14142857143,23255.02840193231,False,False
1655155679999,23259.58000000,23253.634285714284,23248.251126569994,False,True
1655155739999,23265.88000000,23257.265714285713,23241.80574299512,False,False
1655155799999,23212.69000000,23253.981428571427,23240.065333333278,False,False
1655155859999,23235.79000000,23247.87857142857,23241.67596328497,False,False
1655155919999,23252.99000000,23246.984285714287,23243.214067632794,False,False
1655155979999,23225.45000000,23241.36142857143,23233.032399999945,False,False
1655156039999,23223.62000000,23239.428571428572,23214.15737391299,False,False
1655156099999,23213.12000000,23232.79142857143,23191.930983574824,False,False
